"","lhs","op","rhs","est.sem","se.sem","p.sem","est.spt","se.spt","p.spt"
"1","clay.Cr","~","dem",0.795,0.333,0.0169686004698884,0.896,0.348,0.0100323397103086
"2","clay.Cr","~","vdchn",-0.033,0.068,0.627467727549449,-0.091,0.071,0.199951364850716
"3","clay.Cr","~","X",1.468,0.372,7.93891808744079e-05,1.574,0.389,5.20396524083288e-05
"4","clay.Cr","~","lstm",0.325,0.105,0.0019665496444848,0.271,0.11,0.0137535567293406
"5","clay.Ar","~","clay.Cr",0.556,0.066,3.63091812191253e-17,0.544,0.077,1.60691118404508e-12
"6","clay.Ar","~","evisd",0.234,0.087,0.0071525885007411,0.214,0.105,0.041540409303309
"7","clay.Ar","~","lstm",-0.024,0.087,0.782654008414754,0.093,0.105,0.37577150825113
"8","clay.Ar","~","ndwi.b",0.202,0.067,0.00257042492037887,0.286,0.083,0.00056940712292598
"9","clay.Br","~","clay.Ar",0.395,0.069,1.03654716794758e-08,0.399,0.061,6.11155313651698e-11
"10","clay.Br","~","clay.Cr",0.359,0.071,4.27383526448625e-07,0.436,0.07,4.70707475046295e-10
"11","clay.Br","~","vdchn",-0.111,0.053,0.0362297370857815,0.043,0.058,0.458463485620218
"12","clay.Br","~","twi",-0.014,0.055,0.799074192526507,0.033,0.06,0.582319373576693
"13","clay.Br","~","ndwi.b",-0.016,0.054,0.767003814165864,0.017,0.06,0.776921327410532
"14","clay.Br","~","X",0.262,0.078,0.000782323259276146,0.352,0.084,2.78369625557611e-05
"15","OC.Ar","~","clay.Ar",0.021,0.107,0.844405351239815,-0.078,0.11,0.47826806405006
"16","OC.Ar","~","evisd",0.036,0.151,0.811562649899687,0.042,0.181,0.8165036847734
"17","OC.Ar","~","lstm",-0.33,0.102,0.00121517485941101,-0.17,0.123,0.166936755377244
"18","OC.Ar","~","ndwi.b",-0.283,0.083,0.000650490266606688,-0.155,0.101,0.124868972122315
"19","OC.Br","~","OC.Ar",0.258,0.082,0.00165326863946019,0.176,0.081,0.0297923987683957
"20","OC.Br","~","clay.Br",0.641,0.097,3.88896340356728e-11,0.67,0.098,8.10185810529508e-12
"21","OC.Br","~","evisd",-0.152,0.145,0.294511527356042,-0.157,0.172,0.36135263167424
"22","OC.Br","~","lstm",0.031,0.117,0.791042383154443,0.012,0.135,0.929170213978481
"23","OC.Br","~","ndwi.a",-0.057,0.155,0.71306566828583,0.019,0.183,0.91730811813801
"24","OC.Br","~","vdchn",0.025,0.068,0.713136420707273,0.033,0.08,0.679972980698277
"25","OC.Cr","~","OC.Br",0.52,0.072,5.1144803208997e-13,0.416,0.075,2.91167076213665e-08
"26","CEC.Ar","~","OC.Ar",0.229,0.031,1.50069377858742e-13,0.251,0.029,4.92167103202943e-18
"27","CEC.Ar","~","clay.Ar",0.969,0.032,2.02414064805942e-201,0.965,0.03,5.16501326235486e-227
"28","CEC.Br","~","clay.Br",0.918,0.043,3.99761727120758e-101,0.961,0.043,1.23929179445367e-110
"29","CEC.Cr","~","clay.Cr",0.724,0.05,1.62097174841136e-47,0.764,0.049,8.27205456953432e-55
"30","CEC.Ar","~~","CEC.Br",0.076,0.012,2.39920452311641e-10,0.112,0.017,4.45084905827445e-11
"31","CEC.Br","~~","CEC.Cr",0.198,0.028,1.53346732093327e-12,0.199,0.029,6.78702808702252e-12
"32","clay.Br","~","lstm",0.063,0.073,0.388129935298758,0.145,0.079,0.0664400717787524
"33","OC.Br","~","dem",0.378,0.093,4.81322106124119e-05,0.274,0.112,0.0144279382852284
"34","clay.Ar","~","twi",-0.198,0.061,0.00117079283596722,-0.201,0.075,0.00736221601834996
"35","OC.Cr","~","dem",0.16,0.066,0.0153403612414819,0.001,0.08,0.990026702711924
"36","OC.Ar","~","ndwi.a",-0.421,0.172,0.0143781515045526,-0.279,0.207,0.177714325380176
"37","OC.Ar","~","clay.Br",0.447,0.108,3.48991908052221e-05,0.445,0.11,5.22216980539138e-05
"38","OC.Br","~~","clay.Ar",-0.169,0.055,0.00212112244902407,-0.169,0.077,0.0281775746979241
"39","CEC.Ar","~","dem",0.217,0.033,4.8406067324069e-11,0.221,0.036,8.31006635817509e-10
"40","CEC.Cr","~","evisd",0.33,0.055,1.9731752900754e-09,0.188,0.055,0.000630409788973494
"41","CEC.Br","~","dem",0.603,0.114,1.22668829052137e-07,0.837,0.127,4.38196703104875e-11
"42","CEC.Br","~","X",0.474,0.118,5.89564387252766e-05,0.691,0.132,1.65120257703458e-07
"43","CEC.Br","~","evisd",0.122,0.039,0.00175877388155876,0.076,0.041,0.0637880272576482
"44","OC.Cr","~~","clay.Cr",0.224,0.063,0.000377181229838257,0.286,0.079,0.000294314904930096
"45","CEC.Ar","~~","clay.Br",-0.058,0.017,0.000645438001188896,-0.054,0.02,0.00693394760608134
"46","CEC.Ar","~~","CEC.Ar",0.081,0.015,6.6640896970857e-08,0.123,0.02,7.74829469335137e-10
"47","CEC.Br","~~","CEC.Br",0.187,0.024,6.61310069854003e-15,0.236,0.029,4.02089759589673e-16
"48","CEC.Cr","~~","CEC.Cr",0.411,0.051,7.70322090803621e-16,0.403,0.05,7.62944488730564e-16
"49","OC.Ar","~~","OC.Ar",0.615,0.078,3.15505761043722e-15,0.913,0.113,6.49550432685337e-16
"50","OC.Br","~~","OC.Br",0.586,0.076,1.252999128995e-14,0.822,0.104,2.70426762500615e-15
"51","OC.Cr","~~","OC.Cr",0.575,0.076,3.85515983997057e-14,0.874,0.111,3.43825565526557e-15
"52","clay.Ar","~~","clay.Ar",0.51,0.066,1.09875085716126e-14,0.759,0.095,1.35516049464349e-15
"53","clay.Br","~~","clay.Br",0.283,0.039,3.9749824768697e-13,0.341,0.046,1.23433396638971e-13
"54","clay.Cr","~~","clay.Cr",0.676,0.084,8.44202399077134e-16,0.745,0.093,1.14008508319795e-15
